Total population in France 1982-2023,
Total population of France from 1982 to 2023 (in millions),
,
1982,55.57
1983,55.90
1984,56.17
1985,56.44
1986,56.72
1987,57.01
1988,57.33
1989,57.66
1990,57.99
1991,58.28
1992,58.57
1993,58.85
1994,59.07
1995,59.28
1996,59.48
1997,59.69
1998,59.89
1999,60.12
2000,60.51
2001,60.94
2002,61.38
2003,61.82
2004,62.25
2005,62.73
2006,63.19
2007,63.60
2008,63.96
2009,64.30
2010,64.61
2011,64.93
2012,65.24
2013,65.56
2014,66.13
2015,66.42
2016,66.60
2017,66.77
2018,66.99
2019,67.26
2020,67.44
2021,67.64
2022,67.84
2023,68.04
